"City","Contact Email","Contact Name","Contact Phone","Contact Website","Dates","Entity","Geographical Coverage","Has new content","Imagery","Imagery (field_imagery:delta)","Language","Nid","Path","Post date","Profession","Promoted to front page","Published","Published date","Resource type","Title","Topic","Type","Type of event","Updated date","Venue","Country","image","image","Name"
,,,,,,,"Global",,,0,"en",22,"/content/un-consorcio-planea-lanzamientos-espaciales-de-baj%C3%B3-coste-desde-canarias","Monday, December 9, 2013 - 17:32",,"No",1,,,"Un consorcio planea lanzamientos espaciales de bajó coste desde Canarias",,"Media and press",,"Thursday, December 12, 2013 - 18:17",,"Spain",,,
,,,,,,,,,,0,"en",21,"/content/press-4","Monday, December 9, 2013 - 17:31",,"No",1,,,"Press 4",,"Media and press",,"Monday, December 9, 2013 - 17:31",,"France",,,
,,,,,,,,,,0,"en",20,"/content/press-3","Monday, December 9, 2013 - 17:30",,"No",1,,,"Press 3",,"Media and press",,"Monday, December 9, 2013 - 17:30",,"Belgium",,,
,,,,,,,,,,0,"en",18,"/content/waste-management-offers-back-school-road-safety-tips","Monday, December 9, 2013 - 16:53",,"No",1,,,"Waste Management Offers Back To School Road Safety Tips",,"Media and press",,"Monday, December 9, 2013 - 16:53",,"Belgium",,,
,,,,,,,,,,0,"en",17,"/content/new-release-charter","Monday, December 9, 2013 - 16:21",,"No",1,,,"New release of charter",,"Media and press",,"Monday, December 9, 2013 - 16:21",,"Spain",,,
