"City","Contact Email","Contact Name","Contact Phone","Contact Website","Dates","Entity","Geographical Coverage","Has new content","Imagery","Imagery (field_imagery:delta)","Language","Nid","Path","Post date","Profession","Promoted to front page","Published","Published date","Resource type","Title","Topic","Type","Type of event","Updated date","Venue","Country","image","image","Name"
"Vilnius",,,,,"Sunday, December 22, 2013 to Monday, December 23, 2013",,,,,0,"en",31,"/content/charter-across-europe-vilnius-workshop","Friday, December 13, 2013 - 16:18",,"No",1,,,"The Charter across Europe: Vilnius workshop","Capacity building and training","Event","Workshop","Friday, December 13, 2013 - 16:19","Medicinos fakultetas | M. K. Čiurlionio g. 21. Room 312, University of Vilnius","Belgium",,,
"Geneva",,,,,"Wednesday, December 11, 2013 to Thursday, December 12, 2013",,,,,0,"en",30,"/content/irf-summit-bringing-policy-and-practice-together","Friday, December 13, 2013 - 16:11",,"No",1,,,"IRF summit: 'Bringing Policy and Practice Together'","Education in school or in community organizations","Event","Event","Friday, December 13, 2013 - 16:12",,"France",,,
"Brussels",,,,,"Wednesday, January 1, 2014 to Monday, January 6, 2014",,,,,0,"en",9,"/content/security-council-brussels","Thursday, December 5, 2013 - 19:55",,"No",1,,,"Security Council in Brussels","Create awareness","Event","Workshop","Wednesday, December 11, 2013 - 17:24","Palais des Congres","Belgium",,,
"Paris",,,,,"Thursday, December 5, 2013 to Monday, December 8, 2014",,,,,0,"en",6,"/content/new-strategy-making-intelligent-roads","Thursday, December 5, 2013 - 18:17",,"No",1,,,"New strategy for making intelligent roads","Create awareness, Education in school or in community organizations","Event","Event","Monday, December 16, 2013 - 14:54","Palais des Congres","France",,,
