bid,Title,field_block_text_1,field_block_text_2,field_block_text_3,field_block_link_title,field_block_link_url,filepath,field_block_background_image_alt,field_block_background_image_title
66,slideshow_1,sanco_find_out,sanco_we_love_eating,sanco_enjoy_being_healthy,sanco_take_the_survey,take-the-survey,http://sanco.pauservers.com/01_takethesurvey.png,Find out how much you love eating!   Take the survey,Find out how much you love eating!   Take the survey
67,slideshow_2,sanco_find_out,sanco_we_love_eating,sanco_enjoy_being_healthy,sanco_take_the_survey,play-the-game,http://sanco.pauservers.com/02_playthewlegame.png,Have some fun!      Play the We Love Eating game,Have some fun!      Play the We Love Eating game
68,slideshow_3,sanco_find_out,sanco_we_love_eating,sanco_enjoy_being_healthy,sanco_take_the_survey,recipes,http://sanco.pauservers.com/03_trynewrecipes.png,Enjoy cooking and eating together!    Try new recipes ,Enjoy cooking and eating together!    Try new recipes 
